prenom,sexe,annee,dep,n
MAELIG,F,2000,01,6
MAELIG,F,2000,02,3
MAELIG,F,2000,03,6
MAELIG,F,2000,04,8
MAELIG,F,2000,05,1
MAELIG,F,2000,06,6
MAELIG,F,2000,07,2
MAELIG,F,2000,08,7
MAELIG,F,2000,09,3
MAELIG,F,2000,11,6
MAELIG,F,2000,12,4
MAELIG,F,2000,13,4
MAELIG,F,2000,14,4
MAELIG,F,2000,15,1
MAELIG,F,2000,16,7
MAELIG,F,2000,17,1
MAELIG,F,2000,18,4
MAELIG,F,2000,19,5
MAELIG,F,2000,21,1
MAELIG,F,2000,22,27
MAELIG,F,2000,23,3
MAELIG,F,2000,24,5
MAELIG,F,2000,25,4
MAELIG,F,2000,26,1
MAELIG,F,2000,27,3
MAELIG,F,2000,28,5
MAELIG,F,2000,29,24
MAELIG,F,2000,2A,3
MAELIG,F,2000,2B,5
MAELIG,F,2000,30,1
MAELIG,F,2000,31,4
MAELIG,F,2000,32,5
MAELIG,F,2000,33,2
MAELIG,F,2000,34,6
MAELIG,F,2000,35,23
MAELIG,F,2000,36,10
MAELIG,F,2000,37,3
MAELIG,F,2000,38,3
MAELIG,F,2000,39,4
MAELIG,F,2000,40,4
MAELIG,F,2000,41,3
MAELIG,F,2000,42,6
MAELIG,F,2000,43,1
MAELIG,F,2000,44,27
MAELIG,F,2000,45,2
MAELIG,F,2000,46,2
MAELIG,F,2000,47,7
MAELIG,F,2000,48,3
MAELIG,F,2000,49,6
MAELIG,F,2000,50,4
MAELIG,F,2000,51,3
MAELIG,F,2000,52,4
MAELIG,F,2000,53,3
MAELIG,F,2000,54,1
MAELIG,F,2000,55,1
MAELIG,F,2000,56,23
MAELIG,F,2000,57,4
MAELIG,F,2000,58,2
MAELIG,F,2000,59,2
MAELIG,F,2000,60,3
MAELIG,F,2000,61,2
MAELIG,F,2000,62,8
MAELIG,F,2000,63,5
MAELIG,F,2000,64,3
MAELIG,F,2000,65,3
MAELIG,F,2000,66,6
MAELIG,F,2000,67,7
MAELIG,F,2000,68,4
MAELIG,F,2000,69,3
MAELIG,F,2000,70,8
MAELIG,F,2000,71,4
MAELIG,F,2000,72,6
MAELIG,F,2000,73,1
MAELIG,F,2000,74,7
MAELIG,F,2000,75,2
MAELIG,F,2000,76,4
MAELIG,F,2000,77,8
MAELIG,F,2000,78,5
MAELIG,F,2000,79,5
MAELIG,F,2000,80,6
MAELIG,F,2000,81,4
MAELIG,F,2000,82,2
MAELIG,F,2000,83,4
MAELIG,F,2000,84,1
MAELIG,F,2000,85,3
MAELIG,F,2000,86,6
MAELIG,F,2000,87,1
MAELIG,F,2000,88,5
MAELIG,F,2000,89,5
MAELIG,F,2000,90,2
MAELIG,F,2000,91,3
MAELIG,F,2000,92,6
MAELIG,F,2000,93,6
MAELIG,F,2000,94,3
MAELIG,F,2000,95,2
MAELIG,M,2000,01,7
MAELIG,M,2000,02,7
MAELIG,M,2000,03,5
MAELIG,M,2000,04,2
MAELIG,M,2000,05,2
MAELIG,M,2000,06,2
MAELIG,M,2000,07,5
MAELIG,M,2000,08,7
MAELIG,M,2000,09,1
MAELIG,M,2000,10,2
MAELIG,M,2000,11,6
MAELIG,M,2000,12,2
MAELIG,M,2000,13,4
MAELIG,M,2000,14,2
MAELIG,M,2000,15,4
MAELIG,M,2000,16,6
MAELIG,M,2000,17,6
MAELIG,M,2000,18,7
MAELIG,M,2000,19,4
MAELIG,M,2000,21,1
MAELIG,M,2000,22,20
MAELIG,M,2000,23,8
MAELIG,M,2000,24,6
MAELIG,M,2000,25,7
MAELIG,M,2000,26,2
MAELIG,M,2000,27,5
MAELIG,M,2000,28,4
MAELIG,M,2000,29,27
MAELIG,M,2000,2A,7
MAELIG,M,2000,2B,3
MAELIG,M,2000,30,2
MAELIG,M,2000,31,5
MAELIG,M,2000,32,4
MAELIG,M,2000,33,2
MAELIG,M,2000,34,6
MAELIG,M,2000,35,27
MAELIG,M,2000,36,2
MAELIG,M,2000,38,6
MAELIG,M,2000,39,4
MAELIG,M,2000,40,5
MAELIG,M,2000,41,3
MAELIG,M,2000,42,10
MAELIG,M,2000,43,5
MAELIG,M,2000,44,22
MAELIG,M,2000,45,1
MAELIG,M,2000,46,2
MAELIG,M,2000,47,1
MAELIG,M,2000,48,2
MAELIG,M,2000,49,3
MAELIG,M,2000,50,1
MAELIG,M,2000,51,2
MAELIG,M,2000,52,6
MAELIG,M,2000,53,4
MAELIG,M,2000,54,2
MAELIG,M,2000,55,3
MAELIG,M,2000,56,21
MAELIG,M,2000,57,1
MAELIG,M,2000,58,2
MAELIG,M,2000,59,3
MAELIG,M,2000,60,5
MAELIG,M,2000,61,8
MAELIG,M,2000,62,3
MAELIG,M,2000,63,1
MAELIG,M,2000,64,1
MAELIG,M,2000,65,6
MAELIG,M,2000,66,2
MAELIG,M,2000,67,2
MAELIG,M,2000,69,7
MAELIG,M,2000,70,2
MAELIG,M,2000,71,2
MAELIG,M,2000,72,5
MAELIG,M,2000,73,7
MAELIG,M,2000,75,3
MAELIG,M,2000,76,5
MAELIG,M,2000,77,4
MAELIG,M,2000,78,8
MAELIG,M,2000,79,4
MAELIG,M,2000,80,1
MAELIG,M,2000,81,6
MAELIG,M,2000,82,5
MAELIG,M,2000,83,3
MAELIG,M,2000,84,4
MAELIG,M,2000,85,4
MAELIG,M,2000,86,3
MAELIG,M,2000,87,4
MAELIG,M,2000,88,8
MAELIG,M,2000,89,3
MAELIG,M,2000,90,4
MAELIG,M,2000,91,4
MAELIG,M,2000,92,4
MAELIG,M,2000,93,3
MAELIG,M,2000,94,3
MAELIG,M,2000,95,6
LOUISE,F,2000,01,4
LOUISE,F,2000,02,3
LOUISE,F,2000,03,4
LOUISE,F,2000,04,6
LOUISE,F,2000,05,3
LOUISE,F,2000,06,7
LOUISE,F,2000,07,1
LOUISE,F,2000,08,2
LOUISE,F,2000,09,2
LOUISE,F,2000,10,6
LOUISE,F,2000,11,4
LOUISE,F,2000,12,3
LOUISE,F,2000,13,8
LOUISE,F,2000,14,7
LOUISE,F,2000,15,3
LOUISE,F,2000,16,3
LOUISE,F,2000,17,4
LOUISE,F,2000,18,3
LOUISE,F,2000,19,5
LOUISE,F,2000,21,6
LOUISE,F,2000,22,1
LOUISE,F,2000,23,7
LOUISE,F,2000,24,6
LOUISE,F,2000,25,7
LOUISE,F,2000,26,3
LOUISE,F,2000,27,4
LOUISE,F,2000,28,5
LOUISE,F,2000,29,3
LOUISE,F,2000,2A,4
LOUISE,F,2000,2B,4
LOUISE,F,2000,30,2
LOUISE,F,2000,31,8
LOUISE,F,2000,32,5
LOUISE,F,2000,33,6
LOUISE,F,2000,34,6
LOUISE,F,2000,35,2
LOUISE,F,2000,36,1
LOUISE,F,2000,37,2
LOUISE,F,2000,38,3
LOUISE,F,2000,39,5
LOUISE,F,2000,40,6
LOUISE,F,2000,41,3
LOUISE,F,2000,42,1
LOUISE,F,2000,43,4
LOUISE,F,2000,44,6
LOUISE,F,2000,45,4
LOUISE,F,2000,46,3
LOUISE,F,2000,47,2
LOUISE,F,2000,48,5
LOUISE,F,2000,49,4
LOUISE,F,2000,50,1
LOUISE,F,2000,51,5
LOUISE,F,2000,52,3
LOUISE,F,2000,53,3
LOUISE,F,2000,54,2
LOUISE,F,2000,55,3
LOUISE,F,2000,56,2
LOUISE,F,2000,57,5
LOUISE,F,2000,58,1
LOUISE,F,2000,59,7
LOUISE,F,2000,60,5
LOUISE,F,2000,61,7
LOUISE,F,2000,62,2
LOUISE,F,2000,63,7
LOUISE,F,2000,64,4
LOUISE,F,2000,65,4
LOUISE,F,2000,66,1
LOUISE,F,2000,67,5
LOUISE,F,2000,68,4
LOUISE,F,2000,69,4
LOUISE,F,2000,70,2
LOUISE,F,2000,71,2
LOUISE,F,2000,72,2
LOUISE,F,2000,73,5
LOUISE,F,2000,74,7
LOUISE,F,2000,75,4
LOUISE,F,2000,76,6
LOUISE,F,2000,77,4
LOUISE,F,2000,78,2
LOUISE,F,2000,79,4
LOUISE,F,2000,80,2
LOUISE,F,2000,81,2
LOUISE,F,2000,82,2
LOUISE,F,2000,83,5
